"統計名：","市区町村データ 基礎データ（オリジナル）"
"表番号：","0000020102"
"表題：","Ｂ　自然環境"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/Ｂ　自然環境 コード","B1101","B1102","B1103","B1104","B1105","B1106","B1107","B1201","B120103"
"調査年 コード","調査年","地域 コード","地域","/Ｂ　自然環境","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】","B1104_主要湖沼面積【ｈａ】","B1105_林野面積【ｈａ】","B1106_森林面積【ｈａ】","B1107_森林以外の草生地面積【ｈａ】","B1201_評価総地積（課税対象土地）【ｍ2】","B120103_評価総地積（宅地）【ｍ2】"
"2014100000","2014年度","01487","北海道 天塩町","","35,356","35,356","16,705","0","20,328","19,694","634","183,756,937","1,964,234"
"2014100000","2014年度","01511","北海道 猿払村","","58,997","58,997","12,016","197","46,056","43,909","2,147","291,097,047","1,647,104"
"2014100000","2014年度","01512","北海道 浜頓別町","","40,164","40,164","8,455","1,340","30,453","25,704","4,749","172,408,359","1,183,787"
"2014100000","2014年度","01513","北海道 中頓別町","","39,851","39,851","6,673","0","33,332","32,933","399","114,707,717","485,538"
"2014100000","2014年度","01514","北海道 枝幸町","","111,593","111,593","20,308","0","90,228","88,269","1,959","483,826,546","3,100,062"
"2014100000","2014年度","01516","北海道 豊富町","","52,069","52,069","22,735","64","28,093","24,545","3,548","251,849,737","2,391,213"
"2014100000","2014年度","01517","北海道 礼文町","","8,164","8,164","1,589","0","6,532","4,160","2,372","4,105,149","358,942"
"2014100000","2014年度","01518","北海道 利尻町","","7,651","7,651","2,619","0","4,901","4,538","363","8,758,895","377,615"
"2014100000","2014年度","01519","北海道 利尻富士町","","10,561","10,561","3,835","0","6,716","6,347","369","13,648,129","600,990"
"2014100000","2014年度","01520","北海道 幌延町","","57,410","57,410","13,613","418","43,408","38,099","5,309","157,913,747","2,173,407"
"2014100000","2014年度","01543","北海道 美幌町","","43,841","43,841","16,885","0","26,808","26,799","9","240,260,617","5,835,084"
"2014100000","2014年度","01544","北海道 津別町","","71,680","71,680","10,618","105","61,016","60,990","26","147,062,420","2,710,826"
"2014100000","2014年度","01545","北海道 斜里町","","73,712","73,712","30,765","0","42,837","42,555","282","171,231,429","4,607,097"
"2014100000","2014年度","01546","北海道 清里町","","40,276","40,276","13,200","0","27,056","27,052","4","102,317,035","2,656,602"
"2014100000","2014年度","01547","北海道 小清水町","","28,689","28,689","14,455","355","13,842","13,455","387","139,759,677","3,322,300"
"2014100000","2014年度","01549","北海道 訓子府町","","19,095","19,095","9,241","0","10,588","9,269","1,319","99,055,956","2,862,887"
"2014100000","2014年度","01550","北海道 置戸町","","52,727","52,727","7,834","0","44,559","44,388","171","110,655,602","1,628,340"
