"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2021年06月21日"

"NA","欠測値"

"","","","","/項目 コード","A1101","","A1301","","A1302","","A1303","","E1101","","E2101","","E3101","","E4101","","I5101","","#A05101","","#A05302","","#A05303","","#F01201","","#F01202","","#F01203",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A1301_15歳未満人口【人】","注釈","A1302_15～64歳人口【人】","注釈","A1303_65歳以上人口【人】","注釈","E1101_幼稚園数【園】","注釈","E2101_小学校数【校】","注釈","E3101_中学校数【校】","注釈","E4101_高等学校数【校】","注釈","I5101_病院数【施設】","注釈","#A05101_人口増減率【％】","注釈","#A05302_転入率（日本人移動者）【％】","注釈","#A05303_転出率（日本人移動者）【％】","注釈","#F01201_第1次産業就業者比率【％】","注釈","#F01202_第2次産業就業者比率【％】","注釈","#F01203_第3次産業就業者比率【％】","注釈"
"2015100000","2015年度","01429","北海道 栗山町","","12,344","","1,277","","6,473","","4,594","","1","","3","","1","","1","","1","","-7.47","","3.17","","3.91","","22.22","","19.75","","56.08",""
"2015100000","2015年度","01430","北海道 月形町","","4,577","","268","","2,840","","1,468","","1","","1","","1","","1","","1","","-5.80","","3.30","","4.13","","31.58","","10.94","","56.08",""
"2015100000","2015年度","01431","北海道 浦臼町","","1,985","","197","","1,019","","769","","1","","1","","1","","0","","0","","-10.02","","2.87","","3.83","","51.12","","9.87","","37.63",""
"2015100000","2015年度","01432","北海道 新十津川町","","6,831","","755","","3,443","","2,631","","1","","1","","1","","1","","1","","-5.77","","2.72","","2.78","","26.50","","14.94","","56.91",""
"2015100000","2015年度","01433","北海道 妹背牛町","","3,091","","274","","1,468","","1,349","","1","","1","","1","","0","","0","","-10.72","","2.43","","3.27","","35.85","","17.89","","46.26",""
"2015100000","2015年度","01434","北海道 秩父別町","","2,513","","227","","1,235","","1,051","","0","","1","","1","","0","","0","","-7.95","","2.03","","3.98","","37.62","","10.64","","51.66",""
"2015100000","2015年度","01436","北海道 雨竜町","","2,749","","262","","1,445","","1,042","","0","","1","","1","","0","","1","","-9.84","","2.33","","4.04","","39.12","","9.51","","51.30",""
"2015100000","2015年度","01437","北海道 北竜町","","1,981","","179","","942","","860","","0","","1","","1","","0","","0","","-9.67","","2.27","","3.53","","48.44","","9.05","","42.51",""
"2015100000","2015年度","01438","北海道 沼田町","","3,181","","283","","1,602","","1,296","","1","","1","","1","","0","","0","","-11.93","","3.43","","4.81","","31.21","","14.44","","54.22",""
"2015100000","2015年度","01452","北海道 鷹栖町","","7,018","","1,040","","3,852","","2,126","","1","","2","","1","","1","","0","","-4.45","","2.55","","2.94","","18.79","","13.39","","66.60",""
"2015100000","2015年度","01453","北海道 東神楽町","","10,233","","1,609","","6,007","","2,617","","2","","4","","1","","0","","1","","10.13","","4.97","","3.33","","13.52","","15.48","","67.51",""
"2015100000","2015年度","01454","北海道 当麻町","","6,689","","721","","3,309","","2,659","","1","","2","","1","","0","","0","","-5.62","","3.32","","3.33","","29.34","","15.73","","54.80",""
"2015100000","2015年度","01455","北海道 比布町","","3,777","","358","","1,896","","1,523","","0","","1","","1","","0","","0","","-6.56","","2.78","","3.39","","28.76","","14.51","","56.48",""
"2015100000","2015年度","01456","北海道 愛別町","","2,976","","275","","1,443","","1,258","","1","","1","","1","","0","","0","","-10.58","","2.45","","3.73","","30.46","","15.76","","53.36",""
"2015100000","2015年度","01457","北海道 上川町","","4,044","","357","","2,082","","1,605","","2","","1","","1","","1","","0","","-10.77","","4.01","","5.96","","11.75","","10.69","","77.47",""
"2015100000","2015年度","01458","北海道 東川町","","8,111","","1,057","","4,450","","2,603","","1","","4","","1","","1","","0","","3.21","","4.93","","4.04","","20.83","","16.90","","60.85",""
"2015100000","2015年度","01459","北海道 美瑛町","","10,292","","1,116","","5,437","","3,735","","1","","8","","3","","1","","1","","-6.06","","2.99","","3.62","","29.58","","11.35","","57.43",""
"2015100000","2015年度","01460","北海道 上富良野町","","10,826","","1,415","","6,141","","3,234","","1","","3","","1","","1","","1","","-6.23","","4.68","","5.49","","17.22","","11.85","","70.09",""
"2015100000","2015年度","01461","北海道 中富良野町","","5,069","","648","","2,703","","1,672","","0","","6","","1","","0","","1","","-7.45","","2.72","","4.50","","38.57","","9.33","","50.99",""
"2015100000","2015年度","01462","北海道 南富良野町","","2,555","","288","","1,451","","816","","0","","3","","1","","1","","0","","-9.20","","5.28","","4.54","","20.22","","14.87","","64.59",""
"2015100000","2015年度","01463","北海道 占冠村","","1,211","","116","","770","","311","","0","","2","","2","","0","","0","","-13.13","","7.93","","9.50","","8.88","","9.29","","81.70",""
"2015100000","2015年度","01464","北海道 和寒町","","3,596","","360","","1,709","","1,527","","0","","1","","1","","0","","1","","-6.16","","2.47","","3.73","","34.54","","13.42","","49.86",""
"2015100000","2015年度","01465","北海道 剣淵町","","3,228","","307","","1,733","","1,188","","0","","1","","1","","1","","0","","-9.45","","4.03","","3.81","","41.48","","11.01","","47.51",""
"2015100000","2015年度","01468","北海道 下川町","","3,547","","350","","1,827","","1,370","","0","","1","","1","","1","","1","","-6.04","","3.50","","4.40","","22.81","","23.67","","53.23",""
"2015100000","2015年度","01469","北海道 美深町","","4,659","","431","","2,495","","1,728","","0","","2","","2","","1","","1","","-10.02","","4.29","","5.04","","23.79","","12.33","","63.83",""
"2015100000","2015年度","01470","北海道 音威子府村","","832","","45","","558","","229","","1","","1","","1","","1","","0","","-16.38","","11.66","","13.34","","12.97","","19.10","","67.22",""
"2015100000","2015年度","01471","北海道 中川町","","1,767","","183","","958","","626","","0","","1","","1","","0","","0","","-7.34","","4.87","","5.38","","18.40","","28.92","","52.48",""
"2015100000","2015年度","01472","北海道 幌加内町","","1,525","","154","","774","","597","","0","","2","","1","","1","","1","","-10.82","","4.98","","7.48","","33.25","","10.20","","55.67",""
"2015100000","2015年度","01481","北海道 増毛町","","4,497","","427","","2,179","","1,891","","1","","2","","1","","0","","0","","-11.44","","2.49","","4.02","","23.26","","24.23","","52.37",""
"2015100000","2015年度","01482","北海道 小平町","","3,336","","301","","1,811","","1,224","","2","","2","","1","","0","","0","","-10.25","","3.06","","4.38","","31.32","","14.85","","53.47",""
"2015100000","2015年度","01483","北海道 苫前町","","3,265","","333","","1,657","","1,275","","0","","2","","2","","1","","0","","-10.69","","2.82","","3.61","","39.38","","14.91","","45.71",""
"2015100000","2015年度","01484","北海道 羽幌町","","7,327","","789","","3,629","","2,903","","1","","3","","3","","2","","2","","-8.00","","3.22","","3.92","","18.47","","13.13","","61.05",""
"2015100000","2015年度","01485","北海道 初山別村","","1,217","","114","","666","","437","","0","","1","","1","","0","","0","","-11.10","","4.19","","5.09","","32.49","","12.30","","54.57",""
